quote_date,currency,usd_per_unit
2021-01-08,BRL,0.19703849
2021-01-08,CAD,0.73914033
2021-01-08,CHF,1.08120516
2021-01-08,EUR,1.09235924
2021-01-08,GBP,1.25349555
2021-01-08,INR,0.01224169
2021-01-08,JPY,0.00761541
2021-01-08,MXN,0.05641441
2021-01-08,NOK,0.09295194
2021-01-08,SEK,0.09537084
2021-01-08,SGD,0.74101381
2021-01-08,TVR,0.00041749
2021-01-08,USD,1.00000000
2021-01-08,ZAR,0.05417487
2021-01-11,AUD,0.67687713
2021-01-11,BRL,0.19656560
2021-01-11,CAD,0.73817945
2021-01-11,CHF,1.07915087
2021-01-11,EUR,1.09367007
2021-01-11,GBP,1.25525044
2021-01-11,INR,0.01221721
2021-01-11,JPY,0.00760170
2021-01-11,MXN,0.05648211
2021-01-11,NOK,0.09316573
2021-01-11,SEK,0.09535177
2021-01-11,SGD,0.74012459
2021-01-11,TVR,0.00041711
2021-01-11,USD,1.00000000
2021-01-11,ZAR,0.05406110
2021-01-12,AUD,0.67850164
2021-01-12,BRL,0.19689976
2021-01-12,CAD,0.73847472
2021-01-12,CHF,1.07699257
2021-01-12,EUR,1.09181083
2021-01-12,GBP,1.25750989
2021-01-12,INR,0.01224531
2021-01-12,JPY,0.00760094
2021-01-12,MXN,0.05648211
2021-01-12,NOK,0.09310983
2021-01-12,SEK,0.09554247
2021-01-12,SGD,0.73960650
2021-01-12,TVR,0.00041690
2021-01-12,USD,1.00000000
2021-01-12,ZAR,0.05396920
2021-01-13,AUD,0.67707679
2021-01-13,BRL,0.19660441
2021-01-13,CAD,0.74032091
2021-01-13,CHF,1.07494628
2021-01-13,EUR,1.09279346
2021-01-13,GBP,1.25889315
2021-01-13,INR,0.01225511
2021-01-13,JPY,0.00758574
2021-01-13,MXN,0.05634090
2021-01-13,NOK,0.09309121
2021-01-13,SEK,0.09558069
2021-01-13,SGD,0.73945858
2021-01-13,TVR,0.00041694
2021-01-13,USD,1.00000000
2021-01-13,ZAR,0.05401238
2021-01-14,AUD,0.67579034
2021-01-14,BRL,0.19630950
2021-01-14,CAD,0.74217171
2021-01-14,CHF,1.07387133
2021-01-14,EUR,1.09049859
2021-01-14,GBP,1.25675303
2021-01-14,INR,0.01223673
2021-01-14,JPY,0.00758877
2021-01-14,MXN,0.05645922
2021-01-14,NOK,0.09318430
2021-01-14,SEK,0.09547555
2021-01-14,SGD,0.74101144
2021-01-14,TVR,0.00041723
2021-01-14,USD,1.00000000
2021-01-14,ZAR,0.05405019
2021-01-15,AUD,0.67437118
2021-01-15,BRL,0.19585799
2021-01-15,CAD,0.74150376
2021-01-15,CHF,1.07612646
2021-01-15,EUR,1.09017144
2021-01-15,GBP,1.25939221
2021-01-15,INR,0.01222694
2021-01-15,JPY,0.00760471
2021-01-15,MXN,0.05648180
2021-01-15,NOK,0.09327748
2021-01-15,SEK,0.09534188
2021-01-15,SGD,0.74153015
2021-01-15,TVR,0.00041652
2021-01-15,USD,1.00000000
2021-01-15,ZAR,0.05410424
2021-01-18,AUD,0.67497811
2021-01-18,BRL,0.19591675
2021-01-18,CAD,0.74283847
2021-01-18,CHF,1.07526556
2021-01-18,EUR,1.08962635
2021-01-18,GBP,1.25788094
2021-01-18,INR,0.01223428
2021-01-18,JPY,0.00761916
2021-01-18,MXN,0.05656652
2021-01-18,NOK,0.09320286
2021-01-18,SEK,0.09521794
2021-01-18,SGD,0.74004709
2021-01-18,TVR,0.00041648
2021-01-18,USD,1.00000000
2021-01-18,ZAR,0.05414752
2021-01-19,AUD,0.67518060
2021-01-19,BRL,0.19628899
2021-01-19,CAD,0.74135279
2021-01-19,CHF,1.07763114
2021-01-19,EUR,1.09104286
2021-01-19,GBP,1.25939040
2021-01-19,INR,0.01226364
2021-01-19,JPY,0.00760011
2021-01-19,MXN,0.05662874
2021-01-19,NOK,0.09311898
2021-01-19,SEK,0.09498942
2021-01-19,SGD,0.73923304
2021-01-19,TVR,0.00041611
2021-01-19,USD,1.00000000
2021-01-19,ZAR,0.05427206
2021-01-20,AUD,0.67659848
2021-01-20,BRL,0.19624973
2021-01-20,CAD,0.74209414
2021-01-20,CHF,1.07601469
2021-01-20,EUR,1.08940630
2021-01-20,GBP,1.26052385
2021-01-20,INR,0.01226732
2021-01-20,JPY,0.00758947
2021-01-20,MXN,0.05653813
2021-01-20,NOK,0.09298861
2021-01-20,SEK,0.09479944
2021-01-20,SGD,0.73841988
2021-01-20,TVR,0.00041707
2021-01-20,USD,1.00000000
2021-01-20,ZAR,0.05426663
2021-01-21,AUD,0.67700444
2021-01-21,BRL,0.19638710
2021-01-21,CAD,0.74135205
2021-01-21,CHF,1.07644510
2021-01-21,EUR,1.08711855
2021-01-21,GBP,1.25800280
2021-01-21,INR,0.01226119
2021-01-21,JPY,0.00758340
2021-01-21,MXN,0.05641940
2021-01-21,NOK,0.09318389
2021-01-21,SEK,0.09494164
2021-01-21,SGD,0.73982288
2021-01-21,TVR,0.00041640
2021-01-21,USD,1.00000000
2021-01-21,ZAR,0.05432090
2021-01-22,AUD,0.67571813
2021-01-22,BRL,0.19679951
2021-01-22,CAD,0.74290889
2021-01-22,CHF,1.07569159
2021-01-22,EUR,1.08472689
2021-01-22,GBP,1.25624160
2021-01-22,INR,0.01226732
2021-01-22,JPY,0.00760236
2021-01-22,MXN,0.05630656
2021-01-22,NOK,0.09324912
2021-01-22,SEK,0.09493215
2021-01-22,SGD,0.73923102
2021-01-22,TVR,0.00041553
2021-01-22,USD,1.00000000
2021-01-22,ZAR,0.05442954
2021-01-25,AUD,0.67436669
2021-01-25,BRL,0.19687823
2021-01-25,CAD,0.74380038
2021-01-25,CHF,1.07752027
2021-01-25,EUR,1.08537773
2021-01-25,GBP,1.25423161
2021-01-25,INR,0.01225015
2021-01-25,JPY,0.00761376
2021-01-25,MXN,0.05620521
2021-01-25,NOK,0.09305330
2021-01-25,SEK,0.09480874
2021-01-25,SGD,0.74026594
2021-01-25,TVR,0.00041478
2021-01-25,USD,1.00000000
2021-01-25,ZAR,0.05431524
2021-01-26,AUD,0.67571542
2021-01-26,BRL,0.19713417
2021-01-26,CAD,0.74320534
2021-01-26,CHF,1.07849004
2021-01-26,EUR,1.08765702
2021-01-26,GBP,1.25272653
2021-01-26,INR,0.01225015
2021-01-26,JPY,0.00760843
2021-01-26,MXN,0.05622769
2021-01-26,NOK,0.09326732
2021-01-26,SEK,0.09492251
2021-01-26,SGD,0.74159842
2021-01-26,TVR,0.00041461
2021-01-26,USD,1.00000000
2021-01-26,ZAR,0.05443473
2021-01-27,AUD,0.67679656
2021-01-27,BRL,0.19741016
2021-01-27,CAD,0.74432015
2021-01-27,CHF,1.07859789
2021-01-27,EUR,1.08972357
2021-01-27,GBP,1.25122326
2021-01-27,INR,0.01227710
2021-01-27,JPY,0.00760234
2021-01-27,MXN,0.05614897
2021-01-27,NOK,0.09342587
2021-01-27,SEK,0.09511236
2021-01-27,SGD,0.74048602
2021-01-27,TVR,0.00041536
2021-01-27,USD,1.00000000
2021-01-27,ZAR,0.05450550
2021-01-28,AUD,0.67740568
2021-01-28,BRL,0.19790369
2021-01-28,CAD,0.74379913
2021-01-28,CHF,1.07795073
2021-01-28,EUR,1.09048638
2021-01-28,GBP,1.25147350
2021-01-28,INR,0.01227464
2021-01-28,JPY,0.00759246
2021-01-28,MXN,0.05624442
2021-01-28,NOK,0.09365009
2021-01-28,SEK,0.09497920
2021-01-28,SGD,0.73952339
2021-01-28,TVR,0.00041482
2021-01-28,USD,1.00000000
2021-01-28,ZAR,0.05438559
2021-01-29,AUD,0.67903145
2021-01-29,BRL,0.19824013
2021-01-29,CAD,0.74298095
2021-01-29,CHF,1.07762734
2021-01-29,EUR,1.09081353
2021-01-29,GBP,1.25247468
2021-01-29,INR,0.01224886
2021-01-29,JPY,0.00760537
2021-01-29,MXN,0.05630066
2021-01-29,NOK,0.09345342
2021-01-29,SEK,0.09514066
2021-01-29,SGD,0.73856201
2021-01-29,TVR,0.00041553
2021-01-29,USD,1.00000000
2021-01-29,ZAR,0.05444541
2021-02-01,AUD,0.67787710
2021-02-01,BRL,0.19778418
2021-02-01,CAD,0.74171788
2021-02-01,CHF,1.07708853
2021-02-01,EUR,1.09321332
2021-02-01,GBP,1.24946874
2021-02-01,INR,0.01224274
2021-02-01,JPY,0.00761602
2021-02-01,MXN,0.05636822
2021-02-01,NOK,0.09359360
2021-02-01,SEK,0.09527386
2021-02-01,SGD,0.73848815
2021-02-01,TVR,0.00041470
2021-02-01,USD,1.00000000
2021-02-01,ZAR,0.05434741
2021-02-02,AUD,0.67618241
2021-02-02,BRL,0.19804130
2021-02-02,CAD,0.74253377
2021-02-02,CHF,1.07450352
2021-02-02,EUR,1.09321332
2021-02-02,GBP,1.24959369
2021-02-02,INR,0.01221825
2021-02-02,JPY,0.00759926
2021-02-02,MXN,0.05625548
2021-02-02,NOK,0.09380887
2021-02-02,SEK,0.09519764
2021-02-02,SGD,0.74033437
2021-02-02,TVR,0.00041536
2021-02-02,USD,1.00000000
2021-02-02,ZAR,0.05433654
2021-02-03,AUD,0.67631765
2021-02-03,BRL,0.19829875
2021-02-03,CAD,0.74149422
2021-02-03,CHF,1.07418117
2021-02-03,EUR,1.09343196
2021-02-03,GBP,1.24771930
2021-02-03,INR,0.01222802
2021-02-03,JPY,0.00759014
2021-02-03,MXN,0.05624985
2021-02-03,NOK,0.09392144
2021-02-03,SEK,0.09495965
2021-02-03,SGD,0.73989017
2021-02-03,TVR,0.00041544
2021-02-03,USD,1.00000000
2021-02-03,ZAR,0.05437458
2021-02-04,AUD,0.67462686
2021-02-04,BRL,0.19861603
2021-02-04,CAD,0.74015953
2021-02-04,CHF,1.07235506
2021-02-04,EUR,1.09550948
2021-02-04,GBP,1.25071383
2021-02-04,INR,0.01219990
2021-02-04,JPY,0.00758255
2021-02-04,MXN,0.05616548
2021-02-04,NOK,0.09380873
2021-02-04,SEK,0.09507360
2021-02-04,SGD,0.73929826
2021-02-04,TVR,0.00041536
2021-02-04,USD,1.00000000
2021-02-04,ZAR,0.05435827
2021-02-05,AUD,0.67590865
2021-02-05,BRL,0.19839755
2021-02-05,CAD,0.74126977
2021-02-05,CHF,1.07042482
2021-02-05,EUR,1.09397577
2021-02-05,GBP,1.25021354
2021-02-05,INR,0.01218282
2021-02-05,JPY,0.00756359
2021-02-05,MXN,0.05621041
2021-02-05,NOK,0.09367740
2021-02-05,SEK,0.09488345
2021-02-05,SGD,0.73966791
2021-02-05,TVR,0.00041548
2021-02-05,USD,1.00000000
2021-02-05,ZAR,0.05436371
2021-02-08,AUD,0.67759842
2021-02-08,BRL,0.19855627
2021-02-08,CAD,0.74126977
2021-02-08,CHF,1.06806989
2021-02-08,EUR,1.09627312
2021-02-08,GBP,1.24971345
2021-02-08,INR,0.01220353
2021-02-08,JPY,0.00755678
2021-02-08,MXN,0.05629473
2021-02-08,NOK,0.09379918
2021-02-08,SEK,0.09494987
2021-02-08,SGD,0.73959394
2021-02-08,TVR,0.00041639
2021-02-08,USD,1.00000000
2021-02-08,ZAR,0.05435284
2021-02-09,AUD,0.67637874
2021-02-09,BRL,0.19891367
2021-02-09,CAD,0.74245580
2021-02-09,CHF,1.06764266
2021-02-09,EUR,1.09715014
2021-02-09,GBP,1.24796385
2021-02-09,INR,0.01223282
2021-02-09,JPY,0.00753940
2021-02-09,MXN,0.05619903
2021-02-09,NOK,0.09384608
2021-02-09,SEK,0.09485492
2021-02-09,SGD,0.73826267
2021-02-09,TVR,0.00041568
2021-02-09,USD,1.00000000
2021-02-09,ZAR,0.05424957
2021-02-10,AUD,0.67610819
2021-02-10,BRL,0.19887389
2021-02-10,CAD,0.74253005
2021-02-10,CHF,1.06625472
2021-02-10,EUR,1.09912501
2021-02-10,GBP,1.24484394
2021-02-10,INR,0.01221080
2021-02-10,JPY,0.00752508
2021-02-10,MXN,0.05618217
2021-02-10,NOK,0.09365839
2021-02-10,SEK,0.09492132
2021-02-10,SGD,0.73752441
2021-02-10,TVR,0.00041497
2021-02-10,USD,1.00000000
2021-02-10,ZAR,0.05418447
2021-02-11,AUD,0.67779846
2021-02-11,BRL,0.19849603
2021-02-11,CAD,0.74082223
2021-02-11,CHF,1.06742760
2021-02-11,EUR,1.09846553
2021-02-11,GBP,1.24683569
2021-02-11,INR,0.01222179
2021-02-11,JPY,0.00752282
2021-02-11,MXN,0.05629453
2021-02-11,NOK,0.09371459
2021-02-11,SEK,0.09506370
2021-02-11,SGD,0.73582810
2021-02-11,TVR,0.00041397
2021-02-11,USD,1.00000000
2021-02-11,ZAR,0.05426033
2021-02-12,AUD,0.67718844
2021-02-12,BRL,0.19897242
2021-02-12,CAD,0.74267429
2021-02-12,CHF,1.06507926
2021-02-12,EUR,1.09725722
2021-02-12,GBP,1.24957873
2021-02-12,INR,0.01219735
2021-02-12,JPY,0.00750702
2021-02-12,MXN,0.05622698
2021-02-12,NOK,0.09373333
2021-02-12,SEK,0.09503518
2021-02-12,SGD,0.73575452
2021-02-12,TVR,0.00041306
2021-02-12,USD,1.00000000
2021-02-12,ZAR,0.05430374
2021-02-15,AUD,0.67583406
2021-02-15,BRL,0.19919129
2021-02-15,CAD,0.74423391
2021-02-15,CHF,1.06688989
2021-02-15,EUR,1.09451408
2021-02-15,GBP,1.25195293
2021-02-15,INR,0.01216808
2021-02-15,JPY,0.00751227
2021-02-15,MXN,0.05627196
2021-02-15,NOK,0.09364897
2021-02-15,SEK,0.09483561
2021-02-15,SGD,0.73391513
2021-02-15,TVR,0.00041285
2021-02-15,USD,1.00000000
2021-02-15,ZAR,0.05436890
2021-02-16,AUD,0.67421206
2021-02-16,BRL,0.19891242
2021-02-16,CAD,0.74371295
2021-02-16,CHF,1.06710327
2021-02-16,EUR,1.09571805
2021-02-16,GBP,1.25358047
2021-02-16,INR,0.01214131
2021-02-16,JPY,0.00751002
2021-02-16,MXN,0.05613128
2021-02-16,NOK,0.09363024
2021-02-16,SEK,0.09459852
2021-02-16,SGD,0.73523618
2021-02-16,TVR,0.00041231
2021-02-16,USD,1.00000000
2021-02-16,ZAR,0.05429278
2021-02-17,AUD,0.67542564
2021-02-17,BRL,0.19853449
2021-02-17,CAD,0.74549786
2021-02-17,CHF,1.06486235
2021-02-17,EUR,1.09517019
2021-02-17,GBP,1.25546084
2021-02-17,INR,0.01215709
2021-02-17,JPY,0.00751903
2021-02-17,MXN,0.05601340
2021-02-17,NOK,0.09350852
2021-02-17,SEK,0.09461744
2021-02-17,SGD,0.73678018
2021-02-17,TVR,0.00041309
2021-02-17,USD,1.00000000
2021-02-17,ZAR,0.05423849
2021-02-18,AUD,0.67583090
2021-02-18,BRL,0.19805801
2021-02-18,CAD,0.74445416
2021-02-18,CHF,1.06539478
2021-02-18,EUR,1.09714150
2021-02-18,GBP,1.25282437
2021-02-18,INR,0.01217168
2021-02-18,JPY,0.00752429
2021-02-18,MXN,0.05597419
2021-02-18,NOK,0.09368619
2021-02-18,SEK,0.09441874
2021-02-18,SGD,0.73552765
2021-02-18,TVR,0.00041231
2021-02-18,USD,1.00000000
2021-02-18,ZAR,0.05421137
2021-02-19,AUD,0.67495232
2021-02-19,BRL,0.19776092
2021-02-19,CAD,0.74437971
2021-02-19,CHF,1.06592748
2021-02-19,EUR,1.09867750
2021-02-19,GBP,1.24981759
2021-02-19,INR,0.01216681
2021-02-19,JPY,0.00751451
2021-02-19,MXN,0.05602457
2021-02-19,NOK,0.09383609
2021-02-19,SEK,0.09428655
2021-02-19,SGD,0.73567476
2021-02-19,TVR,0.00041268
2021-02-19,USD,1.00000000
2021-02-19,ZAR,0.05418426
2021-02-22,AUD,0.67623473
2021-02-22,BRL,0.19819599
2021-02-22,CAD,0.74452859
2021-02-22,CHF,1.06614067
2021-02-22,EUR,1.09702948
2021-02-22,GBP,1.24706799
2021-02-22,INR,0.01218019
2021-02-22,JPY,0.00751752
2021-02-22,MXN,0.05601897
2021-02-22,NOK,0.09392993
2021-02-22,SEK,0.09432426
2021-02-22,SGD,0.73648400
2021-02-22,TVR,0.00041305
2021-02-22,USD,1.00000000
2021-02-22,ZAR,0.05427095
2021-02-23,AUD,0.67684334
2021-02-23,BRL,0.19819599
2021-02-23,CAD,0.74289063
2021-02-23,CHF,1.06720681
2021-02-23,EUR,1.09735859
2021-02-23,GBP,1.24519739
2021-02-23,INR,0.01218384
2021-02-23,JPY,0.00751677
2021-02-23,MXN,0.05604138
2021-02-23,NOK,0.09384539
2021-02-23,SEK,0.09422994
2021-02-23,SGD,0.73780967
2021-02-23,TVR,0.00041388
2021-02-23,USD,1.00000000
2021-02-23,ZAR,0.05440120
2021-02-24,AUD,0.67772324
2021-02-24,BRL,0.19777978
2021-02-24,CAD,0.74363352
2021-02-24,CHF,1.06528584
2021-02-24,EUR,1.09648070
2021-02-24,GBP,1.24519739
2021-02-24,INR,0.01220212
2021-02-24,JPY,0.00752278
2021-02-24,MXN,0.05591248
2021-02-24,NOK,0.09392985
2021-02-24,SEK,0.09406975
2021-02-24,SGD,0.73707186
2021-02-24,TVR,0.00041347
2021-02-24,USD,1.00000000
2021-02-24,ZAR,0.05426520
2021-02-25,AUD,0.67928200
2021-02-25,BRL,0.19764133
2021-02-25,CAD,0.74504642
2021-02-25,CHF,1.06422055
2021-02-25,EUR,1.09779648
2021-02-25,GBP,1.24220892
2021-02-25,INR,0.01217528
2021-02-25,JPY,0.00753482
2021-02-25,MXN,0.05601312
2021-02-25,NOK,0.09392046
2021-02-25,SEK,0.09426730
2021-02-25,SGD,0.73574513
2021-02-25,TVR,0.00041392
2021-02-25,USD,1.00000000
2021-02-25,ZAR,0.05435202
2021-02-26,AUD,0.68057264
2021-02-26,BRL,0.19748322
2021-02-26,CAD,0.74549345
2021-02-26,CHF,1.06656184
2021-02-26,EUR,1.09856494
2021-02-26,GBP,1.24121515
2021-02-26,INR,0.01216797
2021-02-26,JPY,0.00751674
2021-02-26,MXN,0.05606913
2021-02-26,NOK,0.09385472
2021-02-26,SEK,0.09425787
2021-02-26,SGD,0.73581870
2021-02-26,TVR,0.00041471
2021-02-26,USD,1.00000000
2021-02-26,ZAR,0.05423788
2021-03-01,AUD,0.68220601
2021-03-01,BRL,0.19718700
2021-03-01,CAD,0.74586620
2021-03-01,CHF,1.06784171
2021-03-01,EUR,1.10131135
2021-03-01,GBP,1.23898096
2021-03-01,INR,0.01218501
2021-03-01,JPY,0.00751223
2021-03-01,MXN,0.05608034
2021-03-01,NOK,0.09381718
2021-03-01,SEK,0.09427672
2021-03-01,SGD,0.73648094
2021-03-01,TVR,0.00041558
2021-03-01,USD,1.00000000
2021-03-01,ZAR,0.05415652
2021-03-02,AUD,0.68070516
2021-03-02,BRL,0.19673347
2021-03-02,CAD,0.74497116
2021-03-02,CHF,1.06720100
2021-03-02,EUR,1.10252279
2021-03-02,GBP,1.23724639
2021-03-02,INR,0.01221182
2021-03-02,JPY,0.00750547
2021-03-02,MXN,0.05622054
2021-03-02,NOK,0.09365769
2021-03-02,SEK,0.09406931
2021-03-02,SGD,0.73773296
2021-03-02,TVR,0.00041595
2021-03-02,USD,1.00000000
2021-03-02,ZAR,0.05428650
2021-03-03,AUD,0.68152201
2021-03-03,BRL,0.19720563
2021-03-03,CAD,0.74392820
2021-03-03,CHF,1.06613380
2021-03-03,EUR,1.10274329
2021-03-03,GBP,1.23947343
2021-03-03,INR,0.01221548
2021-03-03,JPY,0.00748671
2021-03-03,MXN,0.05629925
2021-03-03,NOK,0.09369515
2021-03-03,SEK,0.09387176
2021-03-03,SGD,0.73684768
2021-03-03,TVR,0.00041549
2021-03-03,USD,1.00000000
2021-03-03,ZAR,0.05423764
2021-03-04,AUD,0.68288505
2021-03-04,BRL,0.19692954
2021-03-04,CAD,0.74467213
2021-03-04,CHF,1.06581396
2021-03-04,EUR,1.10395631
2021-03-04,GBP,1.23823396
2021-03-04,INR,0.01220693
2021-03-04,JPY,0.00747698
2021-03-04,MXN,0.05634992
2021-03-04,NOK,0.09377948
2021-03-04,SEK,0.09389053
2021-03-04,SGD,0.73559504
2021-03-04,TVR,0.00041599
2021-03-04,USD,1.00000000
2021-03-04,ZAR,0.05416171
2021-03-05,AUD,0.68213388
2021-03-05,BRL,0.19698862
2021-03-05,CAD,0.74549127
2021-03-05,CHF,1.06549422
2021-03-05,EUR,1.10119642
2021-03-05,GBP,1.24009131
2021-03-05,INR,0.01222280
2021-03-05,JPY,0.00746352
2021-03-05,MXN,0.05622032
2021-03-05,NOK,0.09358254
2021-03-05,SEK,0.09373092
2021-03-05,SGD,0.73647775
2021-03-05,TVR,0.00041616
2021-03-05,USD,1.00000000
2021-03-05,ZAR,0.05427545
2021-03-08,AUD,0.68104247
2021-03-08,BRL,0.19730380
2021-03-08,CAD,0.74660951
2021-03-08,CHF,1.06719901
2021-03-08,EUR,1.09855355
2021-03-08,GBP,1.24319154
2021-03-08,INR,0.01221791
2021-03-08,JPY,0.00748143
2021-03-08,MXN,0.05631589
2021-03-08,NOK,0.09356382
2021-03-08,SEK,0.09375904
2021-03-08,SGD,0.73736152
2021-03-08,TVR,0.00041516
2021-03-08,USD,1.00000000
2021-03-08,ZAR,0.05436229
2021-03-09,AUD,0.68240455
2021-03-09,BRL,0.19742218
2021-03-09,CAD,0.74825205
2021-03-09,CHF,1.06527805
2021-03-09,EUR,1.09888312
2021-03-09,GBP,1.24567792
2021-03-09,INR,0.01220325
2021-03-09,JPY,0.00747993
2021-03-09,MXN,0.05627647
2021-03-09,NOK,0.09344219
2021-03-09,SEK,0.09374966
2021-03-09,SGD,0.73736152
2021-03-09,TVR,0.00041578
2021-03-09,USD,1.00000000
2021-03-09,ZAR,0.05428618
2021-03-10,AUD,0.68158566
2021-03-10,BRL,0.19781702
2021-03-10,CAD,0.75012268
2021-03-10,CHF,1.06549111
2021-03-10,EUR,1.09767435
2021-03-10,GBP,1.24754644
2021-03-10,INR,0.01221667
2021-03-10,JPY,0.00746572
2021-03-10,MXN,0.05632712
2021-03-10,NOK,0.09322727
2021-03-10,SEK,0.09383403
2021-03-10,SGD,0.73846756
2021-03-10,TVR,0.00041574
2021-03-10,USD,1.00000000
2021-03-10,ZAR,0.05424818
2021-03-11,AUD,0.67994985
2021-03-11,BRL,0.19765877
2021-03-11,CAD,0.75192297
2021-03-11,CHF,1.06410597
2021-03-11,EUR,1.09943063
2021-03-11,GBP,1.24467708
2021-03-11,INR,0.01221423
2021-03-11,JPY,0.00746871
2021-03-11,MXN,0.05633839
2021-03-11,NOK,0.09326456
2021-03-11,SEK,0.09399355
2021-03-11,SGD,0.73728601
2021-03-11,TVR,0.00041678
2021-03-11,USD,1.00000000
2021-03-11,ZAR,0.05421563
2021-03-12,AUD,0.67974587
2021-03-12,BRL,0.19777737
2021-03-12,CAD,0.75192297
2021-03-12,CHF,1.06346751
2021-03-12,EUR,1.10096983
2021-03-12,GBP,1.24766430
2021-03-12,INR,0.01222767
2021-03-12,JPY,0.00747543
2021-03-12,MXN,0.05623135
2021-03-12,NOK,0.09314332
2021-03-12,SEK,0.09399355
2021-03-12,SGD,0.73551652
2021-03-12,TVR,0.00041582
2021-03-12,USD,1.00000000
2021-03-12,ZAR,0.05411804
2021-03-15,AUD,0.67845435
2021-03-15,BRL,0.19752026
2021-03-15,CAD,0.75199816
2021-03-15,CHF,1.06144692
2021-03-15,EUR,1.10306167
2021-03-15,GBP,1.24679093
2021-03-15,INR,0.01222156
2021-03-15,JPY,0.00746496
2021-03-15,MXN,0.05613013
2021-03-15,NOK,0.09313401
2021-03-15,SEK,0.09415334
2021-03-15,SGD,0.73419259
2021-03-15,TVR,0.00041657
2021-03-15,USD,1.00000000
2021-03-15,ZAR,0.05424251
2021-03-16,AUD,0.67974341
2021-03-16,BRL,0.19738200
2021-03-16,CAD,0.75252456
2021-03-16,CHF,1.06059776
2021-03-16,EUR,1.10273075
2021-03-16,GBP,1.24367395
2021-03-16,INR,0.01224723
2021-03-16,JPY,0.00744854
2021-03-16,MXN,0.05612452
2021-03-16,NOK,0.09311538
2021-03-16,SEK,0.09408743
2021-03-16,SGD,0.73301788
2021-03-16,TVR,0.00041736
2021-03-16,USD,1.00000000
2021-03-16,ZAR,0.05411775
2021-03-17,AUD,0.67818000
2021-03-17,BRL,0.19692802
2021-03-17,CAD,0.75101951
2021-03-17,CHF,1.06091594
2021-03-17,EUR,1.10339239
2021-03-17,GBP,1.24578820
2021-03-17,INR,0.01224723
2021-03-17,JPY,0.00746493
2021-03-17,MXN,0.05623116
2021-03-17,NOK,0.09296640
2021-03-17,SEK,0.09398393
2021-03-17,SGD,0.73367760
2021-03-17,TVR,0.00041790
2021-03-17,USD,1.00000000
2021-03-17,ZAR,0.05420434
2021-03-18,AUD,0.67912945
2021-03-18,BRL,0.19722341
2021-03-18,CAD,0.75237135
2021-03-18,CHF,1.06218904
2021-03-18,EUR,1.10228900
2021-03-18,GBP,1.24354578
2021-03-18,INR,0.01227295
2021-03-18,JPY,0.00747613
2021-03-18,MXN,0.05624803
2021-03-18,NOK,0.09308726
2021-03-18,SEK,0.09374897
2021-03-18,SGD,0.73228361
2021-03-18,TVR,0.00041777
2021-03-18,USD,1.00000000
2021-03-18,ZAR,0.05430191
2021-03-19,AUD,0.67906154
2021-03-19,BRL,0.19744036
2021-03-19,CAD,0.75387609
2021-03-19,CHF,1.06080819
2021-03-19,EUR,1.10482426
2021-03-19,GBP,1.24242659
2021-03-19,INR,0.01226190
2021-03-19,JPY,0.00748211
2021-03-19,MXN,0.05626490
2021-03-19,NOK,0.09306864
2021-03-19,SEK,0.09365522
2021-03-19,SGD,0.73199070
2021-03-19,TVR,0.00041865
2021-03-19,USD,1.00000000
